country_id,country,state,city,district,district_region,area,pincode
1,India,UttarPradesh,Lucknow,Lucknow,Sec-B Indira Nagar,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Sec-d Indiranagar,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Secretariat,,226001
1,India,UttarPradesh,Lucknow,Lucknow,Sgpgi,,226014
1,India,UttarPradesh,Lucknow,Lucknow,Shia Lines,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Shivaji Marg,,226018
1,India,UttarPradesh,Lucknow,Lucknow,Singar Nagar,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Singhamau,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Singhrawa,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Sisendi,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Sujanpura,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Sunderbagh,,226018
1,India,UttarPradesh,Lucknow,Lucknow,Sushant Golf City,,226030
1,India,UttarPradesh,Lucknow,Lucknow,Suspen,,226103
1,India,UttarPradesh,Lucknow,Lucknow,T. Tib ,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Thakurganj ,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Thari,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Thawar,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Tirwa,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Topkhana Bazar,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Triveni Nagar,,226020
1,India,UttarPradesh,Lucknow,Lucknow,U P Governer Camp,,226027
1,India,UttarPradesh,Lucknow,Lucknow,Umrawal,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Usarana,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Utrathia,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Utrawan,,226302
1,India,UttarPradesh,Lucknow,Lucknow,Victoriaganj,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Vikas Nagar,,226022
1,India,UttarPradesh,Lucknow,Lucknow,Vineet Khand,,226010
1,India,UttarPradesh,Lucknow,Lucknow,Vishwas Khand,,226010
1,India,UttarPradesh,Lucknow,Lucknow,Vrinda Van Colony,,226029
1,India,UttarPradesh,Lucknow,Lucknow,Wazirganj,,226018
1,India,UttarPradesh,Lucknow,Lucknow,Yahiaganj,,226003
1,India,Delhi,Delhi,Central Delhi,A.G.C.R.,,110002
1,India,Delhi,Delhi,Central Delhi,A.K.market,,110055
1,India,Delhi,Delhi,Central Delhi,Ajmeri Gate,,110002
1,India,Delhi,Delhi,Central Delhi,Anand Parbat,,110005
1,India,Delhi,Delhi,Central Delhi,Anand Parbat indl. area,,110005
1,India,Delhi,Delhi,Central Delhi,Bank Street,,110005
1,India,Delhi,Delhi,Central Delhi,Baroda House,,110001
1,India,Delhi,Delhi,Central Delhi,Bengali Market,,110001
1,India,Delhi,Delhi,Central Delhi,Bhagat Singh market,,110001
1,India,Delhi,Delhi,Central Delhi,Connaught Place,,110001
1,India,Delhi,Delhi,Central Delhi,Constitution House,,110001
1,India,Delhi,Delhi,Central Delhi,Dada Ghosh bhawan,,110008
1,India,Delhi,Delhi,Central Delhi,Darya Ganj,,110002
1,India,Delhi,Delhi,Central Delhi,Delhi High court,,110003
1,India,Delhi,Delhi,Central Delhi,Desh Bandhu gupta road,,110005
1,India,Delhi,Delhi,Central Delhi,Election Commission,,110001
1,India,Delhi,Delhi,Central Delhi,Gandhi Smarak nidhi,,110002
1,India,Delhi,Delhi,Central Delhi,Guru Gobind singh marg,,110005
1,India,Delhi,Delhi,Central Delhi,Gym Khana club,,110011
1,India,Delhi,Delhi,Central Delhi,Hauz Qazi,,110006
1,India,Delhi,Delhi,Central Delhi,I.A.R.I,,110012
1,India,Delhi,Delhi,Central Delhi,I.P.estate,,110002
1,India,Delhi,Delhi,Central Delhi,Inderpuri,,110012
